          S_ALK   S_I       S_ND       S_NH       S_NO  S_O        S_S  X_BA        X_BH   X_I       X_ND       X_P         X_S
t179   6.835620  40.0   4.453946  17.370886  13.172201  0.0  24.808799   0.0  115.654075  40.0  17.635765  0.623122  107.386500
t180   6.838984  40.0   4.435758  17.386542  13.140768  0.0  24.635174   0.0  115.737417  40.0  17.632211  0.626705  107.383301
t181   6.842333  40.0   4.417681  17.402116  13.109447  0.0  24.462295   0.0  115.820331  40.0  17.628660  0.630288  107.380105
t182   6.845669  40.0   4.399716  17.417607  13.078239  0.0  24.290166   0.0  115.902813  40.0  17.625109  0.633871  107.376913
t183   6.848991  40.0   4.381861  17.433017  13.047144  0.0  24.118791   0.0  115.984861  40.0  17.621560  0.637455  107.373725
t184   6.852299  40.0   4.364117  17.448345  13.016163  0.0  23.948173   0.0  116.066474  40.0  17.618012  0.641039  107.370541
t185   6.855593  40.0   4.346482  17.463593  12.985297  0.0  23.778316   0.0  116.147649  40.0  17.614466  0.644623  107.367361
t186   6.858873  40.0   4.328956  17.478761  12.954545  0.0  23.609224   0.0  116.228384  40.0  17.610921  0.648208  107.364184
t187   6.862139  40.0   4.311538  17.493850  12.923910  0.0  23.440900   0.0  116.308678  40.0  17.607378  0.651793  107.361011
t188   6.865391  40.0   4.294229  17.508861  12.893391  0.0  23.273348   0.0  116.388528  40.0  17.603836  0.655379  107.357842
t189   6.868629  40.0   4.277027  17.523794  12.862988  0.0  23.106573   0.0  116.467932  40.0  17.600296  0.658964  107.354677
t190   6.871853  40.0   4.259932  17.538650  12.832703  0.0  22.940576   0.0  116.546889  40.0  17.596757  0.662550  107.351516
t191   6.875064  40.0   4.242943  17.553429  12.802536  0.0  22.775363   0.0  116.625395  40.0  17.593220  0.666136  107.348358
t192   6.878260  40.0   4.226060  17.568133  12.772487  0.0  22.610935   0.0  116.703451  40.0  17.589685  0.669723  107.345205
t193   6.881443  40.0   4.209282  17.582762  12.742558  0.0  22.447298   0.0  116.781053  40.0  17.586151  0.673309  107.342055
t194   6.884612  40.0   4.192609  17.597316  12.712748  0.0  22.284454   0.0  116.858199  40.0  17.582618  0.676896  107.338909
t195   6.887767  40.0   4.176041  17.611796  12.683058  0.0  22.122406   0.0  116.934888  40.0  17.579087  0.680483  107.335768
t196   6.890908  40.0   4.159576  17.626203  12.653488  0.0  21.961158   0.0  117.011119  40.0  17.575558  0.684070  107.332630
t197   6.894036  40.0   4.143214  17.640538  12.624040  0.0  21.800713   0.0  117.086888  40.0  17.572030  0.687658  107.329496
t198   6.897149  40.0   4.126955  17.654800  12.594714  0.0  21.641075   0.0  117.162195  40.0  17.568505  0.691245  107.326366
t199   6.900249  40.0   4.110797  17.668991  12.565509  0.0  21.482247   0.0  117.237037  40.0  17.564980  0.694833  107.323240
t200   6.903335  40.0   4.094742  17.683112  12.536428  0.0  21.324231   0.0  117.311413  40.0  17.561458  0.698420  107.320118
t201   6.906407  40.0   4.078787  17.697163  12.507469  0.0  21.167031   0.0  117.385322  40.0  17.557937  0.702008  107.317001
t202   6.909465  40.0   4.062934  17.711144  12.478634  0.0  21.010650   0.0  117.458761  40.0  17.554418  0.705596  107.313887
t203   6.912509  40.0   4.047180  17.725056  12.449924  0.0  20.855092   0.0  117.531729  40.0  17.550900  0.709184  107.310777
t204   6.915540  40.0   4.031525  17.738900  12.421338  0.0  20.700358   0.0  117.604224  40.0  17.547385  0.712772  107.307672
t205   6.918557  40.0   4.015970  17.752677  12.392876  0.0  20.546452   0.0  117.676245  40.0  17.543871  0.716360  107.304570
t206   6.921560  40.0   4.000513  17.766386  12.364541  0.0  20.393376   0.0  117.747790  40.0  17.540359  0.719948  107.301473
t207   6.924550  40.0   3.985155  17.780029  12.336331  0.0  20.241134   0.0  117.818858  40.0  17.536848  0.723536  107.298379
t208   6.927526  40.0   3.969893  17.793607  12.308248  0.0  20.089729   0.0  117.889446  40.0  17.533340  0.727124  107.295290
t209   6.930488  40.0   3.954729  17.807119  12.280291  0.0  19.939162   0.0  117.959555  40.0  17.529833  0.730712  107.292205
t210   6.933436  40.0   3.939661  17.820567  12.252462  0.0  19.789437   0.0  118.029181  40.0  17.526328  0.734300  107.289124
t211   6.936371  40.0   3.924689  17.833950  12.224761  0.0  19.640557   0.0  118.098325  40.0  17.522825  0.737887  107.286047
t212   6.939292  40.0   3.909813  17.847271  12.197187  0.0  19.492523   0.0  118.166983  40.0  17.519324  0.741475  107.282975
