            h_S  h_OH  h_OHan      h_NO      h_NH  h_OA     h_SBH
t           NaN   NaN     NaN       NaN       NaN   NaN       NaN
t271   0.383506   0.0     1.0  0.955876  0.961538   0.0  0.977857
t272   0.381675   0.0     1.0  0.955800  0.961559   0.0  0.977849
t273   0.379849   0.0     1.0  0.955723  0.961580   0.0  0.977842
t274   0.378028   0.0     1.0  0.955647  0.961600   0.0  0.977834
t275   0.376214   0.0     1.0  0.955571  0.961621   0.0  0.977827
t276   0.374406   0.0     1.0  0.955495  0.961641   0.0  0.977820
t277   0.372604   0.0     1.0  0.955420  0.961662   0.0  0.977813
t278   0.370809   0.0     1.0  0.955345  0.961682   0.0  0.977806
t279   0.369020   0.0     1.0  0.955270  0.961702   0.0  0.977799
t280   0.367238   0.0     1.0  0.955195  0.961722   0.0  0.977792
t281   0.365462   0.0     1.0  0.955121  0.961742   0.0  0.977785
t282   0.363694   0.0     1.0  0.955046  0.961762   0.0  0.977779
t283   0.361933   0.0     1.0  0.954973  0.961782   0.0  0.977772
t284   0.360179   0.0     1.0  0.954899  0.961802   0.0  0.977765
t285   0.358433   0.0     1.0  0.954826  0.961821   0.0  0.977759
t286   0.356694   0.0     1.0  0.954753  0.961841   0.0  0.977753
t287   0.354962   0.0     1.0  0.954680  0.961860   0.0  0.977746
t288   0.353239   0.0     1.0  0.954607  0.961880   0.0  0.977740
t289   0.351523   0.0     1.0  0.954535  0.961899   0.0  0.977734
t290   0.349816   0.0     1.0  0.954463  0.961918   0.0  0.977728
t291   0.348116   0.0     1.0  0.954392  0.961937   0.0  0.977722
t292   0.346425   0.0     1.0  0.954320  0.961957   0.0  0.977716
t293   0.344743   0.0     1.0  0.954249  0.961976   0.0  0.977711
t294   0.343069   0.0     1.0  0.954179  0.961994   0.0  0.977705
t295   0.341403   0.0     1.0  0.954108  0.962013   0.0  0.977699
t296   0.339747   0.0     1.0  0.954038  0.962032   0.0  0.977694
t297   0.338099   0.0     1.0  0.953968  0.962051   0.0  0.977688
t298   0.336460   0.0     1.0  0.953899  0.962069   0.0  0.977683
t299   0.334831   0.0     1.0  0.953830  0.962088   0.0  0.977678
t300   0.333210   0.0     1.0  0.953761  0.962106   0.0  0.977672
t301   0.331599   0.0     1.0  0.953692  0.962125   0.0  0.977667
t302   0.329998   0.0     1.0  0.953624  0.962143   0.0  0.977662
t303   0.328405   0.0     1.0  0.953556  0.962161   0.0  0.977657
t304   0.326823   0.0     1.0  0.953488  0.962179   0.0  0.977652
t305   0.325250   0.0     1.0  0.953421  0.962197   0.0  0.977648
t306   0.323687   0.0     1.0  0.953354  0.962215   0.0  0.977643
t307   0.322133   0.0     1.0  0.953287  0.962233   0.0  0.977638
t308   0.320590   0.0     1.0  0.953220  0.962251   0.0  0.977634
t309   0.319057   0.0     1.0  0.953154  0.962269   0.0  0.977629
t310   0.317533   0.0     1.0  0.953088  0.962287   0.0  0.977625
t311   0.316020   0.0     1.0  0.953023  0.962304   0.0  0.977620
t312   0.314517   0.0     1.0  0.952957  0.962322   0.0  0.977616
t313   0.313025   0.0     1.0  0.952892  0.962339   0.0  0.977612
t314   0.311543   0.0     1.0  0.952828  0.962357   0.0  0.977608
t315   0.310071   0.0     1.0  0.952764  0.962374   0.0  0.977604
t316   0.308610   0.0     1.0  0.952700  0.962391   0.0  0.977600
t317   0.307159   0.0     1.0  0.952636  0.962408   0.0  0.977596
t318   0.305719   0.0     1.0  0.952572  0.962426   0.0  0.977592
t319   0.304290   0.0     1.0  0.952509  0.962443   0.0  0.977588
t320   0.302871   0.0     1.0  0.952447  0.962460   0.0  0.977584
t321   0.301463   0.0     1.0  0.952384  0.962477   0.0  0.977581
t322   0.300066   0.0     1.0  0.952322  0.962493   0.0  0.977577
t323   0.298679   0.0     1.0  0.952260  0.962510   0.0  0.977573
t324   0.297304   0.0     1.0  0.952199  0.962527   0.0  0.977570
t325   0.295939   0.0     1.0  0.952137  0.962544   0.0  0.977567
t326   0.294586   0.0     1.0  0.952077  0.962560   0.0  0.977563
t327   0.293243   0.0     1.0  0.952016  0.962577   0.0  0.977560
t328   0.291912   0.0     1.0  0.951956  0.962593   0.0  0.977557
t329   0.290591   0.0     1.0  0.951896  0.962610   0.0  0.977554
t330   0.289281   0.0     1.0  0.951836  0.962626   0.0  0.977551
t331   0.287983   0.0     1.0  0.951777  0.962642   0.0  0.977548
t332   0.286696   0.0     1.0  0.951718  0.962659   0.0  0.977545
t333   0.285419   0.0     1.0  0.951659  0.962675   0.0  0.977542
t334   0.284154   0.0     1.0  0.951600  0.962691   0.0  0.977539
t335   0.282900   0.0     1.0  0.951542  0.962707   0.0  0.977536
t336   0.281657   0.0     1.0  0.951484  0.962723   0.0  0.977534
t337   0.280425   0.0     1.0  0.951427  0.962739   0.0  0.977531
t338   0.279204   0.0     1.0  0.951370  0.962755   0.0  0.977528
t339   0.277995   0.0     1.0  0.951313  0.962770   0.0  0.977526
t340   0.276796   0.0     1.0  0.951256  0.962786   0.0  0.977523
t341   0.275609   0.0     1.0  0.951200  0.962802   0.0  0.977521
t342   0.274433   0.0     1.0  0.951144  0.962817   0.0  0.977519
t343   0.273267   0.0     1.0  0.951088  0.962833   0.0  0.977516
t344   0.272113   0.0     1.0  0.951032  0.962848   0.0  0.977514
t345   0.270970   0.0     1.0  0.950977  0.962864   0.0  0.977512
t346   0.269838   0.0     1.0  0.950922  0.962879   0.0  0.977510
t347   0.268717   0.0     1.0  0.950868  0.962894   0.0  0.977508
t348   0.267607   0.0     1.0  0.950813  0.962910   0.0  0.977506
t349   0.266508   0.0     1.0  0.950759  0.962925   0.0  0.977504
t350   0.265420   0.0     1.0  0.950705  0.962940   0.0  0.977502
t351   0.264343   0.0     1.0  0.950652  0.962955   0.0  0.977500
t352   0.263277   0.0     1.0  0.950599  0.962970   0.0  0.977498
t353   0.262221   0.0     1.0  0.950546  0.962985   0.0  0.977497
