           S_ALK        S_I       S_ND       S_NH      S_NO       S_O        S_S      X_BA        X_BH        X_I       X_ND        X_P        X_S
t183    6.724525  39.815077   4.187467  13.119248  0.099111  0.000924  32.442076  1.970502  109.963710  39.855399  17.333973   0.665997  75.267350
t184    6.726082  39.813185   4.165030  13.141637  0.095859  0.000926  32.394595  1.970398  109.958926  39.854728  17.332396   0.669789  75.284525
t185    6.727617  39.811284   4.142699  13.163930  0.092790  0.000927  32.348070  1.970296  109.953554  39.854067  17.330852   0.673581  75.301833
t186    6.729131  39.809375   4.120475  13.186126  0.089896  0.000929  32.302452  1.970194  109.947627  39.853415  17.329337   0.677372  75.319265
t187    6.730625  39.807458   4.098359  13.208222  0.087168  0.000930  32.257694  1.970094  109.941175  39.852772  17.327851   0.681162  75.336812
t188    6.732099  39.805533   4.076352  13.230217  0.084598  0.000932  32.213750  1.969994  109.934230  39.852138  17.326391   0.684952  75.354467
t189    6.733555  39.803599   4.054455  13.252111  0.082179  0.000933  32.170576  1.969895  109.926821  39.851514  17.324956   0.688742  75.372223
t190    6.734991  39.801658   4.032670  13.273900  0.079902  0.000934  32.128129  1.969797  109.918977  39.850899  17.323544   0.692531  75.390071
t191    6.736409  39.799709   4.010997  13.295585  0.077760  0.000936  32.086368  1.969701  109.910726  39.850293  17.322153   0.696319  75.408005
t192    6.737810  39.797751   3.989437  13.317164  0.075747  0.000937  32.045253  1.969605  109.902093  39.849696  17.320782   0.700107  75.426018
t193    6.739192  39.795786   3.967992  13.338635  0.073855  0.000939  32.004746  1.969510  109.893105  39.849108  17.319430   0.703895  75.444102
t194    6.740558  39.793812   3.946661  13.359998  0.072078  0.000940  31.964811  1.969416  109.883787  39.848530  17.318093   0.707681  75.462253
t195    6.741907  39.791831   3.925446  13.381253  0.070409  0.000941  31.925412  1.969323  109.874161  39.847960  17.316773   0.711468  75.480463
t196    6.743240  39.789842   3.904347  13.402397  0.068842  0.000943  31.886515  1.969231  109.864250  39.847400  17.315466   0.715253  75.498726
t197    6.744556  39.787844   3.883365  13.423430  0.067372  0.000944  31.848090  1.969140  109.854075  39.846848  17.314172   0.719038  75.517038
t198    6.745858  39.785839   3.862501  13.444352  0.065994  0.000945  31.810105  1.969049  109.843658  39.846306  17.312890   0.722823  75.535393
t199    6.747143  39.783826   3.841754  13.465162  0.064701  0.000947  31.772531  1.968960  109.833017  39.845772  17.311618   0.726606  75.553785
t200    6.748414  39.781805   3.821125  13.485859  0.063490  0.000948  31.735341  1.968872  109.822170  39.845248  17.310355   0.730389  75.572210
